"Results from CVodes cvsDiurnal_kry"
"time";      "C1(0,0)"
2.65e+04;    1.755e+07 
2.66e+04;    1.714e+07 
2.67e+04;    1.673e+07 
2.68e+04;    1.632e+07 
2.69e+04;    1.591e+07 
2.70e+04;    1.550e+07 
2.71e+04;    1.510e+07 
2.72e+04;    1.469e+07 
2.73e+04;    1.429e+07 
2.74e+04;    1.390e+07 
2.75e+04;    1.350e+07 
2.76e+04;    1.311e+07 
2.77e+04;    1.272e+07 
2.78e+04;    1.234e+07 
2.79e+04;    1.195e+07 
2.80e+04;    1.158e+07 
2.81e+04;    1.121e+07 
2.82e+04;    1.084e+07 
2.83e+04;    1.048e+07 
2.84e+04;    1.012e+07 
2.85e+04;    9.769e+06 
2.86e+04;    9.423e+06 
2.87e+04;    9.082e+06 
2.88e+04;    8.748e+06 
2.89e+04;    8.420e+06 
2.90e+04;    8.097e+06 
2.91e+04;    7.782e+06 
2.92e+04;    7.472e+06 
2.93e+04;    7.169e+06 
2.94e+04;    6.873e+06 
2.95e+04;    6.584e+06 
2.96e+04;    6.301e+06 
2.97e+04;    6.025e+06 
2.98e+04;    5.757e+06 
2.99e+04;    5.495e+06 
3.00e+04;    5.240e+06 
3.01e+04;    4.993e+06 
3.02e+04;    4.752e+06 
3.03e+04;    4.519e+06 
3.04e+04;    4.292e+06 
3.05e+04;    4.073e+06 
3.06e+04;    3.861e+06 
3.07e+04;    3.656e+06 
3.08e+04;    3.458e+06 
3.09e+04;    3.267e+06 
3.10e+04;    3.083e+06 
3.11e+04;    2.906e+06 
3.12e+04;    2.736e+06 
3.13e+04;    2.572e+06 
3.14e+04;    2.416e+06 
3.15e+04;    2.265e+06 
3.16e+04;    2.122e+06 
3.17e+04;    1.984e+06 
3.18e+04;    1.853e+06 
3.19e+04;    1.728e+06 
3.20e+04;    1.609e+06 
3.21e+04;    1.496e+06 
3.22e+04;    1.389e+06 
3.23e+04;    1.288e+06 
3.24e+04;    1.191e+06 
3.25e+04;    1.101e+06 
3.26e+04;    1.015e+06 
3.27e+04;    9.343e+05 
3.28e+04;    8.584e+05 
3.29e+04;    7.872e+05 
3.30e+04;    7.205e+05 
3.31e+04;    6.582e+05 
3.32e+04;    5.999e+05 
3.33e+04;    5.457e+05 
3.34e+04;    4.953e+05 
3.35e+04;    4.486e+05 
3.36e+04;    4.053e+05 
3.37e+04;    3.653e+05 
3.38e+04;    3.284e+05 
3.39e+04;    2.946e+05 
3.40e+04;    2.635e+05 
3.41e+04;    2.350e+05 
3.42e+04;    2.091e+05 
3.43e+04;    1.854e+05 
3.44e+04;    1.640e+05 
3.45e+04;    1.446e+05 
3.46e+04;    1.270e+05 
3.47e+04;    1.113e+05 
3.48e+04;    9.711e+04 
